Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0W1eHrIACKah9l0Q9v611q,"Rock N Roll Soniye","Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack)","Shankar-Ehsaan-Loy;Shankar Mahadevan;Shaan;Mahalakshmi Iyer",2006-06-08,341840,57,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:51:25Z,"bollywood,sufi,desi,hindi pop,marathi pop,devotional,bhajan,tamil dance,desi pop,bangla pop","Sony Music Entertainment India Pvt. Ltd.",0.787,0.871,5,-6.193,0,0.142,0.109,0,0.0426,0.831,94.998,4
spotify:track:7emLx4rVwr0tPyjktu7A7U,"Deewangi Deewangi","Om Shanti Om","Shaan;Udit Narayan;Shreya Ghoshal;Sunidhi Chauhan;Rahul Saxena;Vishal-Shekhar;Javed Akhtar",2007-09-18,352388,63,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:53:18Z,"bollywood,hindi pop,desi,desi pop,bangla pop,kannada pop,marathi pop","T-Series",0.725,0.918,9,-4.875,1,0.0447,0.0289,0.00000513,0.602,0.927,107.975,4
spotify:track:2GTasAZimpxzNgE7aXFifI,"Dard - E - Disco","Om Shanti Om","Sukhwinder Singh;Marianne;Nisha;Caralisa Monteiro;Vishal-Shekhar;Javed Akhtar",2007-09-18,268712,66,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:53:23Z,"bollywood,desi,hindi pop","T-Series",0.837,0.839,11,-5.548,1,0.0468,0.0381,0.000193,0.301,0.679,107.025,4
spotify:track:0EH7sgeiFqDa3eS7ieW2zs,"Chammak Challo","Ra-One","Vishal-Shekhar;Akon;Hamsika Iyer;Vishal Dadlani;Niranjan Iyengar",2011-09-16,227091,76,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:53:30Z,"bollywood,desi,hindi pop","T-Series",0.742,0.879,0,-4.274,0,0.0328,0.0696,0.00000717,0.0981,0.936,133.946,4
spotify:track:0se928CIhZPlfVGi3A6zrx,"Crazy Kiya Re","Dhoom:2","Pritam;Sunidhi Chauhan;Sameer Anjaan",2006-10-19,294504,61,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:53:36Z,"bollywood,hindi pop,desi","YRF Music",0.759,0.938,11,-5.387,1,0.123,0.143,0.00000397,0.402,0.81,92.017,4
spotify:track:39bx4zZrPxTjw8VNuvjt6X,"Criminal","Ra-One","Vishal-Shekhar;Akon;Vishal Dadlani;Shruti Pathak;Kumaar",2011-09-16,306503,57,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:53:44Z,"bollywood,desi,hindi pop,gujarati garba,gujarati pop","T-Series",0.701,0.966,0,-5.36,1,0.0568,0.063,0.0662,0.0761,0.834,132.015,4
spotify:track:6VbmeIWTbNHM5uqoW7GTE4,"Sheila Ki Jawani","Tees Maar Khan","Vishal-Shekhar;Sunidhi Chauhan;Vishal Dadlani",2010-11-15,281707,71,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:53:48Z,"bollywood,desi,hindi pop","T-Series",0.803,0.859,6,-4.405,0,0.185,0.305,0.0000618,0.553,0.631,101.007,4
spotify:track:4eu27jAU2bbnyHUC3G75U8,"Badtameez Dil","Yeh Jawaani Hai Deewani","Pritam;Benny Dayal;Shefali Alvares;Amitabh Bhattacharya",2013-03-30,252760,71,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:53:52Z,"bollywood,hindi pop,desi","T-Series",0.806,0.932,2,-2.228,0,0.0684,0.24,0,0.216,0.792,106.021,4
spotify:track:3W1XPf7mvuQcWQB7U7MbTM,"Dilliwaali Girlfriend","Yeh Jawaani Hai Deewani","Pritam;Arijit Singh;Sunidhi Chauhan;Kumaar",2013-03-30,260552,70,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:53:58Z,"bollywood,hindi pop,desi,bangla pop","T-Series",0.687,0.941,6,-5.23,0,0.0583,0.0811,0.00000293,0.0697,0.909,138.048,4
spotify:track:0QjiywAse0jM8QgPvtJrpC,"Baby Doll (From ""Ragini Mms 2"")","Bollywood Party With Meet Bros","Meet Bros Anjjan;Kanika Kapoor",2017-08-17,213887,45,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:54:03Z,"bollywood,desi,hindi pop","T-Series",0.836,0.839,4,-2.974,0,0.106,0.275,0.00000725,0.181,0.507,103.992,4
